date,vessel_class,tce
2017-08-11,SUEZMAX,36772.15
2017-08-18,VLCC,37887.18
2017-08-18,SUEZMAX,35190.57
2017-08-25,VLCC,34709.53
2017-08-25,SUEZMAX,32377.24
2017-09-01,VLCC,45436.48
2017-09-01,SUEZMAX,30746.41
2017-09-08,VLCC,51115.51
2017-09-08,SUEZMAX,33793.48
2017-09-15,VLCC,47175.06
2017-09-15,SUEZMAX,28433.08
2017-09-22,VLCC,47537.06
2017-09-22,SUEZMAX,34866.95
2017-09-29,VLCC,50846.39
2017-09-29,SUEZMAX,40029.02
2017-10-06,VLCC,46735.97
2017-10-06,SUEZMAX,32686.86
2017-10-13,VLCC,56003.67
2017-10-13,SUEZMAX,34929.31
2017-10-20,VLCC,57838.15
2017-10-20,SUEZMAX,28739.64
2017-10-27,VLCC,59534.51
2017-10-27,SUEZMAX,28008.49
2017-11-03,VLCC,60745.09
2017-11-03,SUEZMAX,33892.5
2017-11-10,VLCC,61833.01
2017-11-10,SUEZMAX,28900.06
2017-11-17,VLCC,62978.51
2017-11-17,SUEZMAX,28647.04
2017-11-24,VLCC,65087.69
2017-11-24,SUEZMAX,37485.3
2017-12-01,VLCC,58963.03
2017-12-01,SUEZMAX,36644.31
2017-12-08,VLCC,56651.14
2017-12-08,SUEZMAX,38116.64
2017-12-15,VLCC,55561.55
2017-12-15,SUEZMAX,36661.17
2017-12-22,VLCC,63519.3
2017-12-22,SUEZMAX,37767.77
2017-12-29,VLCC,69961.71
2017-12-29,SUEZMAX,35996.5
2018-01-05,VLCC,67805.43
2018-01-05,SUEZMAX,44250.93
2018-01-12,VLCC,64739.12
2018-01-12,SUEZMAX,46671.37
2018-01-19,VLCC,64173.59
2018-01-19,SUEZMAX,39643.84
2018-01-26,VLCC,62730.41
2018-01-26,SUEZMAX,45532.03
2018-02-02,VLCC,62589.09
2018-02-02,SUEZMAX,49174.87
2018-02-09,VLCC,53876.01
2018-02-09,SUEZMAX,47697.82
2018-02-16,VLCC,52712.93
2018-02-16,SUEZMAX,42217.23
2018-02-23,VLCC,56566.62
2018-02-23,SUEZMAX,42139.18
2018-03-02,VLCC,46850.04
2018-03-02,SUEZMAX,48985.04
2018-03-09,VLCC,42380.8
2018-03-09,SUEZMAX,42896.42
2018-03-16,VLCC,41188.44
2018-03-16,SUEZMAX,46648.64
2018-03-23,VLCC,48923.78
2018-03-23,SUEZMAX,45496.81
2018-03-30,VLCC,43968.86
2018-03-30,SUEZMAX,42129.97
2018-04-06,VLCC,34672.26
2018-04-06,SUEZMAX,45316.29
2018-04-13,VLCC,40555.93
2018-04-13,SUEZMAX,46728.22
2018-04-20,VLCC,37910.69
2018-04-20,SUEZMAX,42068.18
2018-04-27,VLCC,44304.59
2018-04-27,SUEZMAX,34856.14
2018-05-04,VLCC,41345.85
2018-05-04,SUEZMAX,27121.66
2018-05-11,VLCC,43980.95
2018-05-11,SUEZMAX,30165.12
2018-05-18,VLCC,41921.79
2018-05-18,SUEZMAX,25171.44
2018-05-25,VLCC,51964.12
2018-05-25,SUEZMAX,23373.6
2018-06-01,VLCC,50212.63
2018-06-01,SUEZMAX,19193.05
2018-06-08,VLCC,38376.9
2018-06-08,SUEZMAX,29733.98
2018-06-15,VLCC,32094.6
2018-06-15,SUEZMAX,18948.49
2018-06-22,VLCC,36811.07
2018-06-22,SUEZMAX,23761.37
2018-06-29,VLCC,35804.33
2018-06-29,SUEZMAX,15208.84
2018-07-06,VLCC,40290.94
2018-07-06,SUEZMAX,20635.42
2018-07-13,VLCC,35903.47
2018-07-13,SUEZMAX,23144.36
2018-07-20,VLCC,40443.56
2018-07-20,SUEZMAX,28775.95
2018-07-27,VLCC,46035.82
2018-07-27,SUEZMAX,33435.26
2018-08-03,VLCC,47104.91
2018-08-03,SUEZMAX,31499.68
2018-08-10,VLCC,51688.48
2018-08-10,SUEZMAX,28889.14
2018-08-17,VLCC,57430.11
2018-08-17,SUEZMAX,32269.02
2018-08-24,VLCC,62514.03
2018-08-24,SUEZMAX,28955.24
2018-08-31,VLCC,48903.37
2018-08-31,SUEZMAX,34529.47
2018-09-07,VLCC,42626.82
2018-09-07,SUEZMAX,35477.65
2018-09-14,VLCC,35462.63
2018-09-14,SUEZMAX,39197.25
2018-09-21,VLCC,31256.52
2018-09-21,SUEZMAX,43779.32
2018-09-28,VLCC,28129.81
2018-09-28,SUEZMAX,33205.56
2018-10-05,VLCC,35873.88
2018-10-05,SUEZMAX,29631.16
2018-10-12,VLCC,33710.0
2018-10-12,SUEZMAX,26205.78
2018-10-19,VLCC,40984.2
2018-10-19,SUEZMAX,27859.52
2018-10-26,VLCC,38975.78
2018-10-26,SUEZMAX,27175.36
2018-11-02,VLCC,32849.53
2018-11-02,SUEZMAX,29582.95
2018-11-09,VLCC,28249.92
2018-11-09,SUEZMAX,30035.98
2018-11-16,VLCC,30612.5
2018-11-16,SUEZMAX,25514.94
2018-11-23,VLCC,35508.53
2018-11-23,SUEZMAX,21886.45
2018-11-30,VLCC,36770.55
2018-11-30,SUEZMAX,23726.97
2018-12-07,VLCC,35207.85
2018-12-07,SUEZMAX,26700.63
2018-12-14,VLCC,38284.61
2018-12-14,SUEZMAX,24133.46
2018-12-21,VLCC,43133.77
2018-12-21,SUEZMAX,26243.68
2018-12-28,VLCC,33271.15
2018-12-28,SUEZMAX,32317.11
2019-01-04,VLCC,28919.96
2019-01-04,SUEZMAX,29552.39
2019-01-11,VLCC,19290.21
2019-01-11,SUEZMAX,23254.14
2019-01-18,VLCC,23927.03
2019-01-18,SUEZMAX,26123.05
2019-01-25,VLCC,31156.96
2019-01-25,SUEZMAX,28447.78
2019-02-01,VLCC,22256.25
2019-02-01,SUEZMAX,25395.88
2019-02-08,VLCC,20368.06
2019-02-08,SUEZMAX,24491.92
2019-02-15,VLCC,28085.83
2019-02-15,SUEZMAX,16851.31
2019-02-22,VLCC,28534.67
2019-02-22,SUEZMAX,8584.84
2019-03-01,VLCC,23398.22
2019-03-01,SUEZMAX,6457.14
2019-03-08,VLCC,18939.54
2019-03-08,SUEZMAX,5000.0
2019-03-15,VLCC,22042.14
2019-03-15,SUEZMAX,5000.0
2019-03-22,VLCC,29410.33
2019-03-22,SUEZMAX,13320.23
2019-03-29,VLCC,26576.85
2019-03-29,SUEZMAX,10508.11
2019-04-05,VLCC,19155.55
2019-04-05,SUEZMAX,17241.32
2019-04-12,VLCC,26281.95
2019-04-12,SUEZMAX,16280.19
2019-04-19,VLCC,33428.09
2019-04-19,SUEZMAX,16882.58
2019-04-26,VLCC,32484.88
2019-04-26,SUEZMAX,16090.36
2019-05-03,VLCC,30624.76
2019-05-03,SUEZMAX,5368.31
2019-05-10,VLCC,39045.2
2019-05-10,SUEZMAX,12562.49
2019-05-17,VLCC,35429.62
2019-05-17,SUEZMAX,18276.09
2019-05-24,VLCC,39248.42
2019-05-24,SUEZMAX,19900.55
2019-05-31,VLCC,45429.96
2019-05-31,SUEZMAX,21994.26
2019-06-07,VLCC,48113.66
2019-06-07,SUEZMAX,32351.77
2019-06-14,VLCC,42552.38
2019-06-14,SUEZMAX,34582.21
2019-06-21,VLCC,36852.8
2019-06-21,SUEZMAX,40823.97
2019-06-28,VLCC,29763.24
2019-06-28,SUEZMAX,35587.44
2019-07-05,VLCC,29204.23
2019-07-05,SUEZMAX,37519.38
2019-07-12,VLCC,31153.41
2019-07-12,SUEZMAX,30893.85
2019-07-19,VLCC,30709.98
2019-07-19,SUEZMAX,33939.25
2019-07-26,VLCC,32905.07
2019-07-26,SUEZMAX,32287.46
2019-08-02,VLCC,31721.36
2019-08-02,SUEZMAX,26720.56
2019-08-09,VLCC,36742.9
2019-08-09,SUEZMAX,27386.47
2019-08-16,VLCC,44841.19
2019-08-16,SUEZMAX,31552.46
2019-08-23,VLCC,32465.27
2019-08-23,SUEZMAX,23561.61
2019-08-30,VLCC,42160.11
2019-08-30,SUEZMAX,19321.73
2019-09-06,VLCC,47963.62
2019-09-06,SUEZMAX,19596.66
2019-09-13,VLCC,49078.38
2019-09-13,SUEZMAX,12837.34
2019-09-20,VLCC,51518.8
2019-09-20,SUEZMAX,5000.0
2019-09-27,VLCC,35145.64
2019-09-27,SUEZMAX,5000.0
2019-10-04,VLCC,49115.7
2019-10-04,SUEZMAX,7135.66
2019-10-11,VLCC,53640.91
2019-10-11,SUEZMAX,9972.34
2019-10-18,VLCC,51017.83
2019-10-18,SUEZMAX,5000.0
2019-10-25,VLCC,60321.37
2019-10-25,SUEZMAX,6340.23
2019-11-01,VLCC,62688.69
2019-11-01,SUEZMAX,6463.38
2019-11-08,VLCC,53008.18
2019-11-08,SUEZMAX,11294.1
2019-11-15,VLCC,64053.92
2019-11-15,SUEZMAX,12813.72
2019-11-22,VLCC,73278.63
2019-11-22,SUEZMAX,9052.2
2019-11-29,VLCC,70635.21
2019-11-29,SUEZMAX,14682.51
2019-12-06,VLCC,70468.04
2019-12-06,SUEZMAX,16414.85
2019-12-13,VLCC,78050.69
2019-12-13,SUEZMAX,16127.09
2019-12-20,VLCC,81507.05
2019-12-20,SUEZMAX,20198.04
2019-12-27,VLCC,69997.36
2019-12-27,SUEZMAX,16667.86
2020-01-03,VLCC,62937.17
2020-01-03,SUEZMAX,19966.49
2020-01-10,VLCC,55345.88
2020-01-10,SUEZMAX,14664.75
2020-01-17,VLCC,46906.42
2020-01-17,SUEZMAX,19101.1
2020-01-24,VLCC,40447.62
2020-01-24,SUEZMAX,26209.97
2020-01-31,VLCC,39296.04
2020-01-31,SUEZMAX,25992.05
2020-02-07,VLCC,30811.86
2020-02-07,SUEZMAX,33546.41
2020-02-14,VLCC,30015.86
2020-02-14,SUEZMAX,36110.33
2020-02-21,VLCC,33347.17
2020-02-21,SUEZMAX,31521.14
2020-02-28,VLCC,35117.32
2020-02-28,SUEZMAX,26911.03
2020-03-06,VLCC,38170.15
2020-03-06,SUEZMAX,28599.68
2020-03-13,VLCC,34328.23
2020-03-13,SUEZMAX,24576.75
2020-03-20,VLCC,36794.52
2020-03-20,SUEZMAX,31583.8
2020-03-27,VLCC,34007.4
2020-03-27,SUEZMAX,29700.37
2020-04-03,VLCC,43085.25
2020-04-03,SUEZMAX,25697.97
2020-04-10,VLCC,32472.76
2020-04-10,SUEZMAX,32458.82
2020-04-17,VLCC,32163.7
2020-04-17,SUEZMAX,23713.0
2020-04-24,VLCC,34903.72
2020-04-24,SUEZMAX,13822.22
2020-05-01,VLCC,33826.3
2020-05-01,SUEZMAX,15921.38
2020-05-08,VLCC,20253.15
2020-05-08,SUEZMAX,23332.1
2020-05-15,VLCC,22349.65
2020-05-15,SUEZMAX,27080.3
2020-05-22,VLCC,29936.09
2020-05-22,SUEZMAX,27167.67
2020-05-29,VLCC,37244.74
2020-05-29,SUEZMAX,31425.01
2020-06-05,VLCC,32793.56
2020-06-05,SUEZMAX,21449.52
2020-06-12,VLCC,38219.85
2020-06-12,SUEZMAX,16465.48
2020-06-19,VLCC,43480.17
2020-06-19,SUEZMAX,17883.46
2020-06-26,VLCC,48151.64
2020-06-26,SUEZMAX,17857.55
2020-07-03,VLCC,45147.39
2020-07-03,SUEZMAX,18762.14
2020-07-10,VLCC,46315.46
2020-07-10,SUEZMAX,26983.54
2020-07-17,VLCC,44343.91
2020-07-17,SUEZMAX,29974.14
2020-07-24,VLCC,48196.87
2020-07-24,SUEZMAX,45210.3
2020-07-31,VLCC,58067.66
2020-07-31,SUEZMAX,40063.6
2020-08-07,VLCC,50335.27
2020-08-07,SUEZMAX,37514.38
2020-08-14,VLCC,59796.09
2020-08-14,SUEZMAX,41905.22
2020-08-21,VLCC,53459.85
2020-08-21,SUEZMAX,42533.29
2020-08-28,VLCC,48644.39
2020-08-28,SUEZMAX,38687.64
2020-09-04,VLCC,57562.74
2020-09-04,SUEZMAX,27332.62
2020-09-11,VLCC,57556.97
2020-09-11,SUEZMAX,31200.85
2020-09-18,VLCC,56330.58
2020-09-18,SUEZMAX,31873.15
2020-09-25,VLCC,60789.79
2020-09-25,SUEZMAX,26142.55
2020-10-02,VLCC,60380.83
2020-10-02,SUEZMAX,30587.15
2020-10-09,VLCC,61891.39
2020-10-09,SUEZMAX,27775.02
2020-10-16,VLCC,73094.97
2020-10-16,SUEZMAX,27961.26
2020-10-23,VLCC,64856.41
2020-10-23,SUEZMAX,21861.04
2020-10-30,VLCC,58214.63
2020-10-30,SUEZMAX,49485.26
2020-11-06,VLCC,59261.85
2020-11-06,SUEZMAX,44954.77
2020-11-13,VLCC,53717.84
2020-11-13,SUEZMAX,43921.96
2020-11-20,VLCC,49471.69
2020-11-20,SUEZMAX,40913.18
2020-11-27,VLCC,44672.11
2020-11-27,SUEZMAX,32418.5
2020-12-04,VLCC,56668.63
2020-12-04,SUEZMAX,28541.7
2020-12-11,VLCC,64771.7
2020-12-11,SUEZMAX,26364.39
2020-12-18,VLCC,62616.61
2020-12-18,SUEZMAX,14498.12
2020-12-25,VLCC,64203.86
2020-12-25,SUEZMAX,14981.84
2021-01-01,VLCC,68800.5
2021-01-01,SUEZMAX,10458.17
2021-01-08,VLCC,74587.82
2021-01-08,SUEZMAX,21000.8
2021-01-15,VLCC,66532.13
2021-01-15,SUEZMAX,19492.31
2021-01-22,VLCC,66252.78
2021-01-22,SUEZMAX,18523.48
2021-01-29,VLCC,63028.37
2021-01-29,SUEZMAX,24114.64
2021-02-05,VLCC,67781.14
2021-02-05,SUEZMAX,23964.55
2021-02-12,VLCC,66892.82
2021-02-12,SUEZMAX,30302.86
2021-02-19,VLCC,64494.66
2021-02-19,SUEZMAX,35405.39
2021-02-26,VLCC,54532.12
2021-02-26,SUEZMAX,34329.7
2021-03-05,VLCC,48167.37
2021-03-05,SUEZMAX,31338.52
2021-03-12,VLCC,44144.69
2021-03-12,SUEZMAX,27638.74
2021-03-19,VLCC,48396.88
2021-03-19,SUEZMAX,36866.28
2021-03-26,VLCC,43932.06
